oid,t,lon,lat
0,1443651159,-4.3923016,48.118248
8,1443651160,-4.759815,47.951157
7,1443651160,-4.4075685,48.15447
1,1443651161,-4.4657116,48.382515
10,1443651162,-4.475035,48.165886
2,1443651163,-4.4965816,48.382442
4,1443651164,-4.4850965,48.38134
3,1443651165,-4.688793,48.088787
14,1443651168,-4.4970384,48.207314
0,1443651169,-4.393017,48.118248
7,1443651170,-4.407912,48.154827
10,1443651171,-4.4751067,48.165886
1,1443651172,-4.465707,48.382507
2,1443651172,-4.496578,48.38244
4,1443651174,-4.4851,48.381344
3,1443651175,-4.68938,48.088757
20,1443651177,-4.326842,48.09864
15,1443651178,-4.51618,48.368336
0,1443651179,-4.393725,48.118256
10,1443651180,-4.47518,48.165882
30,1443651181,-4.5895967,48.279137
17,1443651181,-4.51478,48.36957
2,1443651182,-4.496585,48.382423
1,1443651184,-4.4657116,48.382515
